99,2015-06-24T12:00:00,운송비,25000,,충북,
100,2015-06-27T12:00:00,번데기,,12000,충북,
101,2015-06-27T12:00:00,옥수수,,54000,충북,
102,2015-06-27T12:00:00,운송비,25000,,충북,
103,2015-06-29T12:00:00,번데기,,12000,충북,
104,2015-06-29T12:00:00,옥수수,,54000,충북,
105,2015-06-29T12:00:00,운송비,25000,,충북,
106,2015-07-01T12:00:00,번데기,,12000,충북,
107,2015-07-01T12:00:00,옥수수,,54000,충북,
108,2015-07-01T12:00:00,운송비,25000,,충북,
109,2015-07-02T12:00:00,옥수수,,52000,충북,
110,2015-07-02T12:00:00,운송비,25000,,충북,
111,2015-07-02T12:00:00,운송비,50000,,성주,
112,2015-07-02T12:00:00,참외,,190000,성주,13box *15000
113,2015-07-04T12:00:00,운송비,50000,,성주,
114,2015-07-04T12:00:00,참외,,170000,성주,13box*13000
115,2015-07-05T12:00:00,옥수수,,54000,충북,
116,2015-07-05T12:00:00,운송비,25000,,충북,
117,2015-07-06T12:00:00,옥수수,,54000,충북,
118,2015-07-06T12:00:00,운송비,25000,,충북,
119,2015-07-08T12:00:00,옥수수,,54000,충북,
120,2015-07-08T12:00:00,운송비,25000,,충북,
121,2015-07-10T12:00:00,번데기,,12000,충북,
122,2015-07-10T12:00:00,옥수수,,54000,충북,
123,2015-07-10T12:00:00,운송비,25000,,충북,
124,2015-07-11T12:00:00,옥수수,,54000,충북,
125,2015-07-11T12:00:00,운송비,25000,,충북,
126,2015-07-14T12:00:00,옥수수,,54000,충북,
127,2015-07-14T12:00:00,운송비,25000,,충북,
128,2015-07-15T12:00:00,운송비,50000,,성주,15box*12000
129,2015-07-15T12:00:00,참외,,180000,성주,15box*12000
130,2015-07-16T12:00:00,옥수수,,56000,충북,2box*큰옥수수
131,2015-07-16T12:00:00,운송비,25000,,충북,
132,2015-07-18T12:00:00,옥수수,,54000,충북,
133,2015-07-18T12:00:00,운송비,25000,,충북,
134,2015-07-21T12:00:00,번데기,,12000,충북,
135,2015-07-21T12:00:00,옥수수,,54000,충북,
136,2015-07-21T12:00:00,운송비,30000,,충북,
137,2015-07-22T12:00:00,번데기,,11000,충북,
138,2015-07-22T12:00:00,옥수수,,54000,충북,
139,2015-07-22T12:00:00,운송비,25000,,충북,
140,2015-07-24T12:00:00,번데기,,11000,충북,
141,2015-07-24T12:00:00,옥수수,,54000,충북,
142,2015-07-24T12:00:00,운송비,25000,,충북,
143,2015-07-26T12:00:00,번데기,,11000,충북,
144,2015-07-26T12:00:00,옥수수,,54000,충북,
145,2015-07-26T12:00:00,운송비,25000,,충북,
146,2015-07-28T12:00:00,번데기,,11000,충북,
147,2015-07-28T12:00:00,옥수수,,54000,충북,
148,2015-07-28T12:00:00,운송비,25000,,충북,
149,2015-07-31T12:00:00,옥수수,,54000,한양,
150,2015-07-31T12:00:00,운송비,25000,,한양,
151,2015-08-02T12:00:00,옥수수,,54000,한양,
152,2015-08-02T12:00:00,운송비,25000,,한양,
153,2015-08-03T12:00:00,옥수수,,54000,한양,
154,2015-08-03T12:00:00,운송비,25000,,한양,
155,2015-08-05T12:00:00,옥수수,,54000,한양,
156,2015-08-05T12:00:00,운송비,25000,,한양,
157,2015-08-07T12:00:00,옥수수,,54000,한양,
158,2015-08-07T12:00:00,운송비,25000,,한양,
159,2015-08-09T12:00:00,옥수수,,54000,한양,
160,2015-08-09T12:00:00,운송비,25000,,한양,
161,2015-08-11T12:00:00,땅콩,,89000,한양,1자루30kg
162,2015-08-11T12:00:00,옥수수,,54000,한양,
163,2015-08-11T12:00:00,운송비,30000,,한양,
164,2015-08-13T12:00:00,번데기,,24000,한양,
165,2015-08-13T12:00:00,옥수수,,54000,한양,
166,2015-08-13T12:00:00,운송비,30000,,한양,
167,2015-08-15T12:00:00,땅콩,,95000,한양,
168,2015-08-15T12:00:00,옥수수,,27000,한양,
169,2015-08-15T12:00:00,운송비,30000,,한양,
170,2015-08-16T12:00:00,옥수수,,54000,한양,
171,2015-08-16T12:00:00,운송비,30000,,한양,
172,2015-08-18T12:00:00,옥수수,,54000,칠성,
173,2015-08-18T12:00:00,운송비,25000,,칠성,
174,2015-08-19T12:00:00,땅콩,,93000,한양,
175,2015-08-19T12:00:00,옥수수,,27000,한양,
176,2015-08-19T12:00:00,운송비,25000,,한양,
177,2015-08-20T12:00:00,번데기,,24000,칠성,
178,2015-08-20T12:00:00,옥수수,,54000,칠성,
179,2015-08-20T12:00:00,운송비,25000,,칠성,
180,2015-08-22T12:00:00,옥수수,,54000,충북,
181,2015-08-22T12:00:00,운송비,30000,,충북,
182,2015-08-23T12:00:00,땅콩,,95000,충북,
183,2015-08-23T12:00:00,옥수수,,54000,충북,
184,2015-08-23T12:00:00,운송비,30000,,충북,
185,2015-08-27T12:00:00,옥수수,,54000,충북,
186,2015-08-27T12:00:00,운송비,50000,,충북,
187,2015-08-28T12:00:00,땅콩,,190000,충북,
188,2015-08-28T12:00:00,옥수수,,27000,충북,
189,2015-08-28T12:00:00,운송비,30000,,충북,
190,2015-08-29T12:00:00,옥수수,,27000,충북,
191,2015-08-29T12:00:00,운송비,30000,,충북,
192,2015-08-31T12:00:00,땅콩,,90000,한양,
193,2015-08-31T12:00:00,옥수수,,54000,한양,
194,2015-08-31T12:00:00,운송비,30000,,한양,
195,2015-09-02T12:00:00,번데기,,12000,충북,
196,2015-09-02T12:00:00,옥수수,,54000,충북,
197,2015-09-02T12:00:00,운송비,30000,,충북,
198,2015-09-04T12:00:00,번데기,,12000,충북,
199,2015-09-04T12:00:00,옥수수,,54000,충북,
200,2015-09-04T12:00:00,운송비,50000,,충북,
201,2015-09-07T12:00:00,번데기,,12000,충북,
202,2015-09-07T12:00:00,옥수수,,54000,충북,
203,2015-09-07T12:00:00,운송비,30000,,충북,
204,2015-09-08T12:00:00,번데기,,12000,충북,
205,2015-09-08T12:00:00,옥수수,,54000,충북,
206,2015-09-08T12:00:00,운송비,30000,,충북,
